Combined_Key,11/29/21,11/30/21,12/1/21,12/2/21,12/3/21,12/4/21
"Autauga, Alabama, US",10517,10526,10527,10531,10545,10560
"Escambia, Alabama, US",6957,6956,6958,6961,6962,6967
"Kent, Delaware, US",28124,28171,28307,28469,28628,28789
"New Castle, Delaware, US",86901,87086,87424,87743,88159,88612
"Sussex, Delaware, US",37457,37513,37610,37777,37938,38097
"Honolulu, Hawaii, US",59534,59570,59621,59673,59744,59802
"Kalawao, Hawaii, US",0,0,0,0,0,0
"Maui, Hawaii, US",10361,10372,10397,10414,10429,10450
"Coshocton, Ohio, US",5552,5576,5602,5623,5645,5669
"Cuyahoga, Ohio, US",164146,164847,165822,166949,168159,169146
"Gallia, Ohio, US",4629,4654,4676,4696,4714,4734
"Greene, Ohio, US",24051,24097,24174,24265,24378,24488
"Boone, West Virginia, US",3958,3973,3980,3988,4000,4010
"Monongalia, West Virginia, US",14321,14345,14391,14439,14474,14515
