Combined_Key,11/29/21,11/30/21,12/1/21,12/2/21,12/3/21,12/4/21
"Autauga, Alabama, US",157,157,157,157,157,157
"Escambia, Alabama, US",143,143,143,144,144,144
"Kent, Delaware, US",469,469,469,472,473,473
"New Castle, Delaware, US",1054,1056,1057,1057,1066,1066
"Sussex, Delaware, US",650,653,653,653,655,655
"Honolulu, Hawaii, US",757,757,761,762,762,766
"Kalawao, Hawaii, US",0,0,0,0,0,0
"Maui, Hawaii, US",99,99,102,102,102,102
"Coshocton, Ohio, US",104,104,104,104,108,108
"Cuyahoga, Ohio, US",2640,2640,2640,2640,2655,2655
"Gallia, Ohio, US",78,78,78,78,78,78
"Greene, Ohio, US",372,372,372,372,373,373
"Boone, West Virginia, US",60,62,62,62,62,62
"Monongalia, West Virginia, US",146,147,147,148,148,148
