Combined_Key,11/29/21,11/30/21,12/1/21,12/2/21,12/3/21,12/4/21
"Alabama, US",5229021,5242493,5259251,5269173,5301858,5311207
"Delaware, US",1403538,1446819,1446917,1455576,1459772,1459889
"Hawaii, US",3884150,3884150,3884150,3884150,2352493,2352493
"Ohio, US",14396558,14419053,14464217,14521898,14587520,14665037
"West Virginia, US",1907974,1942160,1942160,1942160,2148717,2157219
"Alabama, US",NA,NA,NA,NA,NA,NA
"Delaware, US",NA,NA,NA,NA,NA,NA
"Hawaii, US",1315360,1315360,1315360,1315360,1315360,1315360
"Ohio, US",NA,NA,NA,NA,NA,NA
"West Virginia, US",NA,NA,NA,NA,NA,NA
"Alabama, US",7802940,7834540,7870000,7880350,7902810,7895690
"Delaware, US",1847815,1859875,1865905,1876175,1885655,1883695
"Hawaii, US",1315360,1315360,1315360,1315360,1315360,1315360
"Ohio, US",18175315,18234375,18327435,18384655,18495595,18507155
"West Virginia, US",3371505,3371505,3371505,3371505,3417495,3418845
"Alabama, US",NA,NA,NA,NA,NA,NA
"Delaware, US",NA,NA,NA,NA,NA,NA
"Hawaii, US",NA,NA,NA,NA,NA,NA
"Ohio, US",NA,NA,NA,NA,NA,NA
"West Virginia, US",NA,NA,NA,NA,NA,NA
"Alabama, US",2767489,2772024,2776759,2780216,2788826,2791469
"Delaware, US",695704,711525,711684,713938,715085,715365
"Hawaii, US",NA,NA,NA,NA,NA,NA
"Ohio, US",6820747,6824256,6832674,6850534,6861081,6874227
"West Virginia, US",966073,966073,966073,966073,1237143,1242034
"Alabama, US",2130229,2132454,2135236,2137090,2142663,2143974
"Delaware, US",546602,555251,555319,557283,558098,558175
"Hawaii, US",NA,NA,NA,NA,NA,NA
"Ohio, US",5766300,5770883,5781241,5797816,5811659,5826534
"West Virginia, US",699292,699292,699292,699292,827308,830376
