Admin2,Province_State,Combined_Key,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21
Autauga,Alabama,"Autauga, Alabama, US",8959,9012,9048,9063,9108,9145,9207,9246,9287,9317,9351,9371,9416,9439,9493,9511,9527
Broward,Florida,"Broward, Florida, US",332684,332684,332684,332684,332684,332684,339743,339743,339743,339743,339743,339743,339743,345206,345206,345206,345206
Natchitoches,Louisiana,"Natchitoches, Louisiana, US",5720,5720,5720,5815,5860,5896,5934,5934,5934,5934,6011,6067,6136,6171,6171,6171,6221
Plaquemines,Louisiana,"Plaquemines, Louisiana, US",3619,3619,3619,3636,3641,3647,3651,3651,3651,3651,3666,3705,3706,3714,3714,3714,3730
Penobscot,Maine,"Penobscot, Maine, US",8003,8003,8003,8003,8095,8229,8328,8479,8479,8478,8543,8708,8861,9061,9248,9249,9249
Barnstable,Massachusetts,"Barnstable, Massachusetts, US",15677,15677,15677,15880,15924,16017,16058,16058,16058,16185,16227,16273,16324,16364,16364,16364,16459
Berkshire,Massachusetts,"Berkshire, Massachusetts, US",7474,7474,7474,7580,7591,7605,7639,7639,7639,7718,7741,7767,7788,7825,7825,7825,7890
Dukes,Massachusetts,"Dukes, Massachusetts, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middlesex,Massachusetts,"Middlesex, Massachusetts, US",145291,145291,145291,146251,146511,146875,147182,147182,147182,147952,148177,148641,148946,149283,149283,149283,150054
Nantucket,Massachusetts,"Nantucket, Massachusetts, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suffolk,Massachusetts,"Suffolk, Massachusetts, US",99699,99699,99699,100282,100386,100613,100812,100812,100812,101467,101634,101914,102150,102366,102366,102366,102885
Worcester,Massachusetts,"Worcester, Massachusetts, US",83231,83231,83231,84041,84342,84632,84954,84954,84954,85681,85868,86251,86561,86833,86833,86833,87543
Arecibo,Puerto Rico,"Arecibo, Puerto Rico, US",3691,3703,3705,3710,3726,3754,3762,3774,3790,3791,3791,3815,3839,3846,3848,3861,3863
Barceloneta,Puerto Rico,"Barceloneta, Puerto Rico, US",957,961,962,962,963,965,969,970,971,971,972,976,977,981,985,985,987
Brazoria,Texas,"Brazoria, Texas, US",51578,51578,51578,53003,53586,53901,54325,54325,54325,54319,54319,55073,55682,55886,55886,55886,56159
Deaf Smith,Texas,"Deaf Smith, Texas, US",3168,3168,3168,3168,3184,3190,3191,3215,3215,3215,3218,3223,3238,3246,3251,3251,3251
Harris,Texas,"Harris, Texas, US",509846,510333,511123,511277,513688,521211,522156,525128,526158,527150,530062,533598,536145,537385,538840,539494,540055
