Admin2,Province_State,Combined_Key,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21
Autauga,Alabama,"Autauga, Alabama, US",119,119,119,119,119,119,119,119,119,119,119,119,120,124,127,127,127
Broward,Florida,"Broward, Florida, US",3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3079
Natchitoches,Louisiana,"Natchitoches, Louisiana, US",111,111,111,112,113,113,114,114,114,114,115,118,119,120,120,120,121
Plaquemines,Louisiana,"Plaquemines, Louisiana, US",34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35
Penobscot,Maine,"Penobscot, Maine, US",114,114,114,114,115,117,119,120,120,120,123,125,126,126,127,127,127
Barnstable,Massachusetts,"Barnstable, Massachusetts, US",488,488,488,488,488,490,490,490,490,491,492,494,494,495,495,495,495
Berkshire,Massachusetts,"Berkshire, Massachusetts, US",304,304,304,304,304,306,306,306,306,307,309,309,310,309,309,309,310
Dukes,Massachusetts,"Dukes, Massachusetts, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middlesex,Massachusetts,"Middlesex, Massachusetts, US",3818,3818,3818,3821,3826,3827,3830,3830,3830,3834,3835,3838,3842,3844,3844,3844,3846
Nantucket,Massachusetts,"Nantucket, Massachusetts, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suffolk,Massachusetts,"Suffolk, Massachusetts, US",1871,1871,1871,1872,1873,1873,1873,1873,1873,1873,1874,1875,1876,1878,1878,1878,1879
Worcester,Massachusetts,"Worcester, Massachusetts, US",2293,2293,2293,2295,2297,2303,2307,2307,2307,2308,2312,2314,2318,2321,2321,2321,2322
Arecibo,Puerto Rico,"Arecibo, Puerto Rico, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barceloneta,Puerto Rico,"Barceloneta, Puerto Rico, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazoria,Texas,"Brazoria, Texas, US",647,649,649,649,654,662,670,677,678,680,681,687,693,701,704,705,705
Deaf Smith,Texas,"Deaf Smith, Texas, US",68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69
Harris,Texas,"Harris, Texas, US",7384,7400,7405,7427,7467,7529,7579,7622,7636,7645,7678,7734,7779,7840,7878,7885,7889
