Combined_Key,8/1/2021,8/2/2021,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21
"Alabama, US",1.963892033605434,1.9582081444891448,1.94828980262214,1.9403641392644708,1.9301806271502733,1.922700797920831,1.9143326268220664,1.9143326268220664,1.8992429168450184,1.8912130358612829,1.8860770114497407,1.8790900741923235,1.8736910838423009,1.8736910838423009,1.8582541735116087,1.8512213605119845,1.8447549525558715,1.8381948777659245,1.83365371740432,1.827279125990758,1.8188707843880256,1.809777321982008,1.80274106779358,1.80274106779358,1.80274106779358,1.7882815328127424,1.7824143332336015,1.7759709775034955,1.7675872910734094,1.7597689349380798,1.7553938739140438,1.744839726299651,1.7372754786313709,1.7337660520941165,1.7258925592258925,1.7192385774148966,1.7132890292098115,1.7075450945886494,1.7056590785234194,1.7042353343706471,1.7003499173094407,1.6992217877963884,1.6955455146159877,1.689728614497173,1.6861962075832426,1.6867816433190437,1.687438063173922,1.7059799513361635,1.7192480551242286,1.7147136973303168,1.7104508416946025
"Alaska, US",0.5153273454680338,0.5102509280270735,0.5108974023937699,0.511226162291542,0.5151903485948766,0.5129791457221664,0.5129791457221664,0.5129791457221664,0.5086625616705549,0.5082527540946112,0.5082527540946112,0.5070139019940869,0.5048670182779399,0.5048670182779399,0.5048670182779399,0.498238239475799,0.5016167303933019,0.5016167303933019,0.4982645397704597,0.4978594448987445,0.4978594448987445,0.4978594448987445,0.4912663755458515,0.5031402076189803,0.5123346317156192,0.5080145677236771,0.5048816755616521,0.5048816755616521,0.5048816755616521,0.4982481685398371,0.5014286198290173,0.5014270524371817,0.4974461470131024,0.4942521127071336,0.4942521127071336,0.4942521127071336,0.4942521127071336,0.4849660523763337,0.4870129870129871,0.4826724813176112,0.4812188074599422,0.4812188074599422,0.4812188074599422,0.4749831841465307,0.4788031975011816,0.4755179386094148,0.4704841563455043,0.4673176564368274,0.4673176564368274,0.4673176564368274,0.4625698978247504
"Arizona, US",1.9634421719967168,1.959658015411424,1.9587276520017445,1.9546901769577631,1.951092611862643,1.9496960974189008,1.9478172384369552,1.9436522650926904,1.93916129270389,1.9351574997344416,1.931786099242546,1.926410934882665,1.922330947494869,1.922330947494869,1.9124522767338328,1.907709983448053,1.9027884965116744,1.9018937739291315,1.8953967910977387,1.8947916453990483,1.8947916453990483,1.8862528674085928,1.8812315796074497,1.8801402993415777,1.8801402993415777,1.8695324615994968,1.868903281959453,1.8671378176192424,1.8671378176192424,1.8580735257902032,1.8564653634713315,1.854400130623422,1.8506410438638885,1.851582375834404,1.8491101941969648,1.8436963209533883,1.839548105746664,1.8412431507842169,1.8398051324381968,1.841380212642329,1.836677921878597,1.8342281526244584,1.8297730307076103,1.8258066112336544,1.8323909075289968,1.8309169548042985,1.8285299790134628,1.8254452696108907,1.830889579140618,1.8291099668823576,1.8256530781991032
"Arkansas, US",1.5850745039079797,1.5924270448006577,1.5869854426323275,1.5793703306537274,1.5726088642073517,1.5661732558865782,1.5611504363278963,1.5585848316871849,1.5599399909196787,1.5558039873299796,1.5495384974880242,1.5481060147646133,1.5455111215768442,1.5407970546749865,1.5404697873070243,1.5447044308627096,1.5463527453141184,1.5427058096444377,1.5336751340013983,1.532767718716035,1.5310107435712526,1.533350487988678,1.5367617056587857,1.5392334621919652,1.5351980527868807,1.5343896258488066,1.5312590999708802,1.5278780907542644,1.5307655162745364,1.5350959990227977,1.5310527257110431,1.52902380748649,1.5282584880214038,1.5253180642232325,1.5209963628347845,1.5215774210588728,1.5213069037638898,1.527567346851058,1.5277136061057206,1.5253937958666062,1.5247725231712896,1.5261086550534413,1.5298915160178608,1.5343311321210895,1.536910796725001,1.5365991108513704,1.5376330224105594,1.5353925380585534,1.5349450876182336,1.5349450876182336,1.5412440364855846
"California, US",1.624147359818379,1.6201857163009554,1.6158520494065811,1.6139719720354757,1.6100860965753006,1.605505212912795,1.602886453092043,1.6007523417402647,1.5947562053366744,1.5908475427755069,1.577469625521875,1.5746623074223796,1.5692687362689288,1.566877699271871,1.5648549051721885,1.5595052221753765,1.5549078640718874,1.5526693605621742,1.5499064135375682,1.5427751682980002,1.5398721066634118,1.5382203079841097,1.5327972031919437,1.5294037413547874,1.527937264833659,1.5257969102542692,1.523019574453075,1.5211113537335306,1.5199699320697777,1.5143130818252288,1.5105752651641708,1.5065870405589403,1.5059465798774936,1.5050198350904496,1.5047477428670517,1.5044016252154642,1.5030870114040389,1.5002445168588117,1.4991693399390265,1.5004671619624352,1.5007138894291483,1.500650987760356,1.5001926104223366,1.4973160307771605,1.496352393679113,1.4975540084346983,1.4675828540829916,1.4669107009102371,1.4663269719051926,1.4659635724250626,1.4644855945636257
"Colorado, US",1.2076538650140327,1.2049507608893355,1.2030587470342882,1.201830966953532,1.2004615835070012,1.19960391409887,1.19960391409887,1.19960391409887,1.1973404601154567,1.1975700091568833,1.1956110351505893,1.1939207452867076,1.1928227084131997,1.1928227084131997,1.1928227084131997,1.1886112105231172,1.18723907527773,1.1845496444672046,1.181855776426841,1.1799178548769491,1.1799178548769491,1.1799178548769491,1.1732801119240932,1.171846568163622,1.1691816388337215,1.1668505888525065,1.1654950526693624,1.1654950526693624,1.1654950526693624,1.161585713587408,1.1596452544172708,1.156984946737597,1.155951943353518,1.1559523350429988,1.1559523350429988,1.1559523350429988,1.1515504092187787,1.148334787424574,1.148067768021192,1.1465167480903242,1.1457138896939305,1.1457138896939305,1.1457138896939305,1.1402604703457322,1.1395479170558565,1.1399415597615836,1.1365516814747798,1.136836652575689,1.136836652575689,1.136836652575689,1.133189994873482
"Connecticut, US",2.340440543553417,2.3322459080938187,2.328140968767197,2.3246360397083268,2.3215659936475954,2.3168265954713525,2.3168265954713525,2.3168265954713525,2.308529258716117,2.307042081203877,2.3011937251769514,2.2992355256384,2.2957914635359664,2.2957914635359664,2.2957914635359664,2.2858039112094373,2.2794525361105467,2.2765702634485367,2.2795375247998906,2.2787654159013377,2.2787654159013377,2.2787654159013377,2.2685827821779485,2.2619890849188966,2.2579998482927515,2.2585964532871974,2.2546047023533347,2.2546047023533347,2.2546047023533347,2.2463575304580603,2.240318222755929,2.2360507672880594,2.241568082890485,2.2375944659922427,2.2375944659922427,2.2375944659922427,2.2375944659922427,2.228285825766364,2.2280648799783944,2.224642354906584,2.2230842919460696,2.2230842919460696,2.2230842919460696,2.2152040201850736,2.2148736924089567,2.2128089864093132,2.206646847684679,2.2019451426073653,2.2019451426073653,2.2019451426073653,2.1934326624985743
"Delaware, US",1.6430178464186156,1.6412818653128105,1.6400923390776831,1.6383039576704443,1.6355849022932096,1.6322641543037275,1.630270616037954,1.6271769588195648,1.6243681783175616,1.62348571933858,1.6211777379449188,1.6173337324576078,1.6134840539994555,1.6096403268323014,1.6054364725818004,1.6014637971595365,1.6012252854358118,1.6045333055642337,1.6003112436778628,1.5946861027112251,1.5919492362250025,1.5877229791643472,1.5839249557885025,1.5838493424082698,1.5894614200549382,1.5862255965292842,1.581691186394925,1.5782923834989826,1.5743210373576233,1.5691355960541715,1.5686012749057168,1.5701447828257613,1.5638589545006505,1.5566897256829069,1.5532592981995006,1.5485910360246005,1.5453133938056711,1.5409312407307811,1.5403884316340806,1.5408570409056996,1.532777230997596,1.525185631145896,1.518724271611846,1.5133533520776752,1.51194772571901,1.5160650535501785,1.5110107105620676,1.5036707487698668,1.5023121522968943,1.4970410048887746,1.4919342305660026
"District of Columbia, US",2.2798523750942503,2.2654678812256,2.2618110236220472,2.2592315859845056,2.2540461010299166,2.248400289611177,2.248400289611177,2.248400289611177,2.2272189807904788,2.2272189807904788,2.2158795055252347,2.211325834054418,2.2030229305951994,2.2030229305951994,2.2030229305951994,2.178979479697595,2.1781503699638547,2.174487024743512,2.172604491930326,2.165273143114244,2.165273143114244,2.165273143114244,2.142936658132028,2.137661712720475,2.132727675603811,2.1300077254166205,2.1244226116284186,2.1244226116284186,2.1244226116284186,2.097623658443885,2.0926918150493408,2.08925679323376,2.0837072400301517,2.078042848456669,2.078042848456669,2.078042848456669,2.078042848456669,2.0558963389842493,2.0513634599781283,2.047169313565135,2.0450795211178603,2.0450795211178603,2.0450795211178603,2.016582714510741,2.016582714510741,1.9969199178644763,1.9898037477194843,1.982973951164806,1.982973951164806,1.982973951164806,1.9643067004684118
"Florida, US",1.483505261871193,1.483505261871193,1.483505261871193,1.483505261871193,1.483505261871193,1.433557783808869,1.433557783808869,1.433557783808869,1.4335577838088691,1.4335577838088691,1.4335577838088691,1.4335577838088691,1.3957378740864073,1.3957378740864073,1.3957378740864073,1.3957378740864073,1.3957378740864073,1.3957378740864073,1.3957378740864073,1.3756194471150638,1.3756194471150638,1.3756194471150638,1.3756194471150638,1.3756194471150638,1.3756194471150638,1.3756194471150638,1.3644307343304845,1.3644307343304845,1.3644307343304845,1.3644307343304845,1.3644307343304845,1.3644307343304845,1.3644307343304845,1.3817949911870449,1.3817949911870449,1.3817949911870449,1.3817949911870449,1.3817949911870449,1.3817949911870449,1.3817949911870449,1.4125756654212644,1.4125756654212644,1.4125756654212644,1.4264488661047876,1.4262507275459766,1.4219224372876982,1.4626614156591218,1.452093661741526,1.452093661741526,1.452093661741526,1.470344019238824
