Province_State,Combined_Key,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21
Alabama,"Alabama, US",587405,589110,592417,595816,599633,603318,607209,607209,612086,615901,619752,623919,627905,627905,634897,637363,641386,645851,649741,653540,659750,663065,665653,665653,665653,676795,681828,688018,691451,694523,699729,704420,709732,714860,719280,722122,724688,727360,732151,736518,741318,745812,747606,750298,754242,757893,761865,764839,768301,770391,772311
Alaska,"Alaska, US",75486,76237,76532,76874,77253,77586,77586,77586,78441,78701,78701,79485,79823,79823,79823,80885,81337,82002,82687,83156,83156,83156,84272,84867,85491,86218,86753,86753,86753,87908,88547,89345,90060,90642,90642,90642,90642,92790,93632,94474,95175,95175,95175,96635,97326,98419,99472,100360,100360,100360,102471
American Samoa,"American Samoa, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,"Arizona, US",929541,931387,933361,935647,937936,940762,943415,946054,948245,950827,952797,955767,958992,962410,965462,967862,970523,972925,976471,979580,982775,986082,988714,991309,991309,998164,1001871,1005764,1007854,1011101,1011923,1016663,1020133,1023935,1027359,1030430,1032808,1034790,1037012,1039492,1042480,1045835,1048600,1050878,1053487,1055919,1058774,1061604,1064346,1066803,1068823
Arkansas,"Arkansas, US",388436,389280,391623,394461,397238,400275,402908,404277,405272,407892,410832,413150,416173,418290,419807,420663,422866,425551,429100,431507,434027,435256,436242,438465,441246,443564,446430,448596,449383,450265,452891,455781,458234,460363,462723,463795,464732,465315,467496,469977,472136,473885,475001,475647,477191,479110,480934,482743,484317,485056,485452
California,"California, US",4042676,4052404,4062432,4072568,4087651,4101489,4114150,4123716,4136684,4147867,4158971,4173222,4188862,4201920,4212536,4225742,4241010,4254700,4269992,4295266,4309197,4318927,4332859,4345977,4359102,4373589,4389825,4404124,4415416,4428143,4452313,4464140,4476606,4488969,4500175,4508502,4515508,4525970,4533998,4541260,4556635,4564776,4570718,4585495,4593971,4597583,4610847,4620663,4629254,4636268,4644566
Colorado,"Colorado, US",575082,577285,578276,579366,580610,581692,581692,581692,584462,585352,586562,588230,589526,589526,589526,592372,593562,595585,597281,598940,598940,598940,603266,604516,606236,608047,610127,610127,610127,613730,615878,618072,620268,622344,622344,622344,627415,629259,630799,632699,634888,634888,634888,640380,642360,644419,646605,648642,648642,648642,653465
Connecticut,"Connecticut, US",354335,355580,356164,356701,357345,358076,358076,358076,359363,359638,360552,361294,361836,361836,361836,363417,364298,364891,365425,365856,365856,365856,367410,368481,369132,369920,370708,370708,370708,372069,373072,373784,374470,375135,375135,375135,375135,376747,377682,378308,378933,378933,378933,380281,381331,381732,382798,384342,384342,384342,385788
Delaware,"Delaware, US",111563,111681,111762,111884,112070,112298,112558,112772,112967,113090,113251,113582,113853,114187,114486,114770,114912,115236,115665,116073,116461,116771,117051,117246,117587,118016,118544,118926,119226,119620,119852,120180,120727,121283,121744,122111,122370,122718,122956,123308,123958,124575,125105,125549,125798,126050,126604,127222,127803,128253,128692
Diamond Princess,"Diamond Princess, US",49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
District of Columbia,"District of Columbia, US",50398,50718,50800,50858,50975,51103,51103,51103,51589,51589,51853,52005,52201,52201,52201,52777,52843,53024,53162,53342,53342,53342,53898,54031,54156,54366,54556,54556,54556,55253,55431,55570,55718,55918,55918,55918,55918,56569,56694,56859,56966,56966,56966,57771,58146,58440,58649,58851,58851,58851,59563
Florida,"Florida, US",2634234,2634234,2634234,2634234,2634234,2768985,2768985,2768985,2768985,2782060,2806813,2827469,2920749,2920749,2920749,2933429,2955098,2978433,2994019,3071489,3071489,3071489,3082733,3103941,3130144,3151909,3223249,3223249,3223249,3231846,3250454,3269502,3291225,3352451,3352451,3352451,3352451,3364998,3378772,3391158,3452700,3452700,3452700,3452700,3453390,3464113,3473873,3528698,3528698,3528698,3528698
