Province_State,Combined_Key,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21
Alabama,"Alabama, US",11536,11536,11542,11561,11574,11600,11624,11624,11625,11648,11689,11724,11765,11765,11798,11799,11832,11872,11914,11942,12000,12000,12000,12000,12000,12103,12153,12219,12222,12222,12283,12291,12330,12394,12414,12415,12416,12420,12488,12552,12605,12673,12676,12678,12718,12784,12856,13048,13209,13210,13210
Alaska,"Alaska, US",389,389,391,393,398,398,398,398,399,400,400,403,403,403,403,403,408,412,412,414,414,414,414,427,438,438,438,438,438,438,444,448,448,448,448,448,448,450,456,456,458,458,458,459,466,468,468,469,469,469,474
American Samoa,"American Samoa, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,"Arizona, US",18251,18252,18282,18289,18300,18342,18376,18388,18388,18400,18406,18412,18435,18462,18464,18464,18467,18504,18508,18561,18597,18600,18600,18638,18638,18661,18724,18779,18787,18787,18786,18853,18879,18959,18997,18998,18999,19053,19079,19141,19147,19183,19187,19187,19304,19333,19360,19379,19487,19513,19513
Arkansas,"Arkansas, US",6157,6199,6215,6230,6247,6269,6290,6301,6322,6346,6366,6396,6432,6445,6467,6498,6539,6565,6581,6614,6645,6674,6704,6749,6774,6806,6836,6854,6879,6912,6934,6969,7003,7022,7038,7057,7070,7108,7142,7169,7199,7232,7267,7298,7334,7362,7395,7412,7434,7445,7482
California,"California, US",64429,64547,64598,64620,64694,64731,64754,64784,64800,64853,64493,64529,64593,64633,64665,64694,64744,64845,64920,65021,65097,65139,65170,65259,65399,65508,65629,65690,65757,65814,65873,66036,66182,66301,66383,66470,66492,66540,66651,66791,66975,67058,67100,67221,67298,67482,67668,67781,67880,67966,68019
Colorado,"Colorado, US",6945,6956,6957,6963,6970,6978,6978,6978,6998,7010,7013,7023,7032,7032,7032,7041,7047,7055,7059,7067,7067,7067,7078,7084,7088,7095,7111,7111,7111,7129,7142,7151,7170,7194,7194,7194,7225,7226,7242,7254,7274,7274,7274,7302,7320,7346,7349,7374,7374,7374,7405
Connecticut,"Connecticut, US",8293,8293,8292,8292,8296,8296,8296,8296,8296,8297,8297,8307,8307,8307,8307,8307,8304,8307,8330,8337,8337,8337,8335,8335,8335,8355,8358,8358,8358,8358,8358,8358,8394,8394,8394,8394,8394,8395,8415,8416,8424,8424,8424,8424,8446,8447,8447,8463,8463,8463,8462
Delaware,"Delaware, US",1833,1833,1833,1833,1833,1833,1835,1835,1835,1836,1836,1837,1837,1838,1838,1838,1840,1849,1851,1851,1854,1854,1854,1857,1869,1872,1875,1877,1877,1877,1880,1887,1888,1888,1891,1891,1891,1891,1894,1900,1900,1900,1900,1900,1902,1911,1913,1913,1920,1920,1920
Diamond Princess,"Diamond Princess, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
