Combined_Key,8/1/2021,8/2/2021,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21
"Alabama, US",11980.0700972939,12014.843413006036,12082.28936905297,12151.611656504903,12229.459014905617,12304.614245638297,12383.970827125631,12383.970827125631,12483.43678649694,12561.243355084502,12639.7841403088,12724.769716011124,12806.063813623186,12806.063813623186,12948.6650004028,12998.958840019292,13081.007549174668,13172.07080703665,13251.406993617416,13328.88724369976,13455.539613536916,13523.14872883646,13575.93074705523,13575.93074705523,13575.93074705523,13803.170796125376,13905.818360922543,14032.06283262818,14102.078546903696,14164.731699905264,14270.907583540087,14366.580090288253,14474.917834020132,14579.50291494202,14669.64840200808,14727.610726497163,14779.944056771265,14834.439247142416,14932.151244548186,15021.215801565717,15119.11135313067,15210.766063283358,15247.354525680756,15302.257614183434,15382.695125719303,15457.156929628394,15538.165498548393,15598.81995070551,15669.42711727173,15712.052472015639,15751.210692641618
"Alaska, US",10318.709033620626,10421.368473573057,10461.694085804702,10508.444456595287,10560.25261603866,10605.772713913702,10605.772713913702,10605.772713913702,10722.648640890173,10758.189858450269,10758.189858450269,10865.360299093016,10911.56388192114,10911.56388192114,10911.56388192114,11056.736085955068,11118.523125713393,11118.523125713393,11303.06406304465,11367.17495164344,11367.17495164344,11367.17495164344,11519.728793170618,11601.06350258699,11686.36242473122,11785.741136908871,11858.874026888298,11858.874026888298,11858.874026888298,12016.759051049492,12104.108428052956,12213.192626564329,12310.93097485459,12390.488623392956,12390.488623392956,12390.488623392956,12390.488623392956,12684.113759235592,12799.212625334056,12914.311491432518,13010.136081854158,13010.136081854158,13010.136081854158,13209.713688153157,13304.17130866864,13453.581119411656,13597.523050530042,13718.909978196829,13718.909978196829,13718.909978196829,14007.477325386682
"Arizona, US",12770.670985010132,12796.032597503105,12823.152761674895,12854.559395563809,12886.00724550769,12924.83276929162,12961.281500572148,12997.537890262804,13027.639349077595,13063.112633723773,13090.1778431556,13130.981737578202,13175.288996673453,13175.288996673453,13264.178288563768,13297.151132541629,13333.70977330208,13366.710094649923,13415.427471627212,13458.141043263531,13458.141043263531,13547.469973073552,13583.630191969272,13619.282079520332,13619.282079520332,13713.460765132097,13764.3900703929,13817.874771061988,13817.874771061988,13891.198132857757,13902.491331920171,13967.612698776447,14015.285935694435,14067.520416029363,14114.561673437778,14156.753175044449,14189.423767952512,14216.653841604228,14247.18119965373,14281.253138430851,14322.304329183293,14368.39761732734,14406.385081326833,14437.681805735818,14473.526034876752,14506.938516774317,14546.16246242298,14585.042940946872,14622.714415191576,14656.470364213914,14684.222507895283
"Arkansas, US",12871.478730891737,12899.446087287311,12977.085324295414,13071.127217009453,13163.147772353672,13263.78386402828,13351.032737712589,13396.396850159916,13429.36784496276,13516.185941830548,13613.607775720358,13690.418595773615,13790.590773953509,13860.741121689807,13911.009462509825,13939.374459043727,14012.374561104698,14101.346542055084,14218.948612964925,14298.708597377432,14382.213026425838,14422.938003926036,14455.610768625133,14529.273604249978,14621.426706306973,14698.237526360226,14793.207246063694,14864.981291031492,14891.059856770022,14920.286406936964,15007.303323873915,15103.068323854037,15184.352595463455,15254.900583338083,15333.103143875482,15368.625662899249,15399.674730366847,15418.993413753842,15491.264508894546,15573.476607493396,15645.018695713838,15702.974745874815,15739.95527873911,15761.361572852313,15812.524603983557,15876.113889437484,15936.555190463,15996.499441315606,16048.656572792666,16048.656572792666,16086.266702542644
"California, US",10039.786928718237,10082.76856505897,10117.798231701618,10133.034023421056,10169.121590551866,10203.96903510086,10224.271613368855,10242.645674479008,10283.696262799487,10317.394695813497,10347.134860015343,10371.36786760897,10417.335921595704,10439.693560142136,10458.363732154476,10498.946110928762,10538.126391926871,10569.782418974502,10600.871532841877,10666.441116208522,10699.041154935778,10717.44052467005,10760.477839983843,10799.08108435205,10832.635258208578,10865.911037199803,10905.832860884591,10929.66346135473,10949.027089667925,10999.45452322437,11036.556966182336,11093.154642298916,11122.408880917685,11149.26892369483,11165.076690319347,11182.281492995216,11195.765927925644,11225.075845517476,11251.865024147084,11265.746804476174,11294.925117222589,11309.396588493642,11319.937630439064,11362.137230294536,11382.477771498709,11404.440595508891,11669.419359168933,11694.26230460382,11716.004943584168,11733.756412541,11754.757508834673
"Colorado, US",9986.2539279453,10024.508850553317,10041.717488004311,10060.645252708233,10082.247215361149,10101.036060691096,10101.036060691096,10101.036060691096,10149.1368939295,10164.591674284078,10185.603229597606,10214.567919071127,10237.072857654874,10237.072857654874,10237.072857654874,10286.493424946031,10307.157681824625,10342.28691851823,10371.73782580066,10400.546230978463,10400.546230978463,10400.546230978463,10475.66688245476,10497.373034638156,10527.24070004251,10558.688573325811,10594.807610558984,10594.807610558984,10594.807610558984,10657.373423612404,10694.673275524352,10732.771913836648,10770.905281992436,10806.95485953862,10806.95485953862,10806.95485953862,10895.01237771622,10927.033293417167,10953.775272907107,10986.768624225871,11024.780437929434,11024.780437929434,11024.780437929434,11120.148588162405,11154.5311332209,11190.285507097393,11228.245226035711,11263.617571633777,11263.617571633777,11263.617571633777,11347.368589218191
"Connecticut, US",9938.470591568084,9973.39064148272,9989.770809474803,10004.832710522323,10022.895772486198,10043.399030709168,10043.399030709168,10043.399030709168,10079.497106404056,10087.210370441426,10112.846455278355,10133.65824406282,10148.860386274651,10148.860386274651,10148.860386274651,10193.20464243131,10217.915135583757,10234.547737671608,10249.525494020538,10261.614282384558,10261.614282384558,10261.614282384558,10305.201236253912,10335.240893650356,10353.500293244277,10375.602300740446,10397.704308236616,10397.704308236616,10397.704308236616,10435.877953163375,10464.010330725128,10483.9806725237,10503.221760267828,10521.873835121827,10521.873835121827,10521.873835121827,10521.873835121827,10567.087586497244,10593.3126842243,10610.870877996638,10628.401023536111,10628.401023536111,10628.401023536111,10666.210041435654,10695.660685941972,10706.908027320103,10736.80744355223,10780.11391509295,10780.11391509295,10780.11391509295,10820.67165981308
"Delaware, US",11456.882776524908,11469.000702428926,11477.31893970202,11489.847642755329,11508.948780197255,11532.363077706714,11559.06359241048,11581.04016989743,11601.065555925255,11613.696953265884,11630.230733524755,11664.2225426284,11692.052694492711,11726.35258645832,11757.058178367652,11786.223355967157,11800.805944766904,11834.078893859292,11878.13474312051,11920.034012347962,11959.879395828968,11991.714624898848,12020.469025349055,12040.494411376883,12075.51316335375,12119.569012614966,12173.79159632108,12213.020814078154,12243.82910027481,12284.290649479752,12308.115724138495,12341.799450380176,12397.973225545413,12455.071249296543,12502.413315752072,12540.102119199311,12566.69993961576,12602.43755160388,12626.87879198656,12663.027181123967,12729.778467883389,12793.140843161176,12847.568815441937,12893.165079012984,12918.73595655621,12944.614916961398,13001.507552137891,13064.972621703,13124.63800263719,13170.850431932173,13215.933224066612
"District of Columbia, US",7141.065733001393,7186.407632175178,7198.026493838461,7206.244713063708,7222.822844949124,7240.959604618639,7240.959604618639,7240.959604618639,7309.822613988826,7309.822613988826,7347.229680807199,7368.767082914747,7396.538996158692,7396.538996158692,7396.538996158692,7478.154414671505,7487.506181376098,7513.152693096271,7532.706387114966,7558.21120540022,7558.21120540022,7558.21120540022,7636.992755214673,7655.837982058777,7673.549661423537,7703.305282756334,7730.227035390769,7730.227035390769,7730.227035390769,7828.987359528671,7854.208790944091,7873.904178397703,7894.874806765577,7923.213493749196,7923.213493749196,7923.213493749196,7923.213493749196,8015.455919880866,8033.167599245624,8056.547016007107,8071.708213543342,8071.708213543342,8071.708213543342,8185.771428652396,8185.771428652396,8280.564336612591,8310.17826451047,8338.800338363922,8338.800338363922,8338.800338363922,8439.686064025596
"Florida, US",12264.951377326206,12264.951377326206,12264.951377326206,12264.951377326206,12264.951377326206,12892.349878388024,12892.349878388024,12892.349878388024,12892.349878388024,12892.349878388024,12892.349878388024,12892.349878388024,13598.960635377927,13598.960635377927,13598.960635377927,13598.960635377927,13598.960635377927,13598.960635377927,13598.960635377927,14300.803664743637,14300.803664743637,14300.803664743637,14300.803664743637,14300.803664743637,14300.803664743637,14300.803664743637,15007.395797797504,15007.395797797504,15007.395797797504,15007.395797797504,15007.395797797504,15007.395797797504,15007.395797797504,15608.95824359894,15608.95824359894,15608.95824359894,15608.95824359894,15608.95824359894,15608.95824359894,15608.95824359894,16075.715984416796,16075.715984416796,16075.715984416796,16075.715984416796,16078.928613382312,16128.854729900084,16174.297133818149,16429.561457056672,16429.561457056672,16429.561457056672,16429.561457056672
