Combined_Key,Population
US,331815487
"Alabama, US",4903184
"Alaska, US",731544
"American Samoa, US",55641
"Arizona, US",7278717
"Arkansas, US",3017803
"California, US",39512223
"Colorado, US",5758736
"Connecticut, US",3565287
"Delaware, US",973764
"District of Columbia, US",705749
"Florida, US",21477737
"Georgia, US",10617422
"Guam, US",164228
"Hawaii, US",1415872
"Idaho, US",1787065
"Illinois, US",12671821
"Indiana, US",6732219
"Iowa, US",3155070
"Kansas, US",2913314
"Kentucky, US",4467672
"Louisiana, US",4648794
"Maine, US",1344211
"Maryland, US",6045680
"Massachusetts, US",6892503
"Michigan, US",9986857
"Minnesota, US",5639631
"Mississippi, US",2976149
"Missouri, US",6137428
"Montana, US",1068778
"Nebraska, US",1934407
"Nevada, US",3080156
"New Hampshire, US",1359711
"New Jersey, US",8882190
"New Mexico, US",2096829
"New York, US",19453561
"North Carolina, US",10488084
"North Dakota, US",762062
"Northern Mariana Islands, US",55144
"Ohio, US",11689100
"Oklahoma, US",3956971
"Oregon, US",4217737
"Pennsylvania, US",12801988
"Puerto Rico, US",3193693
"Rhode Island, US",1059361
"South Carolina, US",5148714
"South Dakota, US",884659
"Tennessee, US",6829174
"Texas, US",28995881
"Utah, US",3205958
"Vermont, US",623989
"Virgin Islands, US",107268
"Virginia, US",8535519
"Washington, US",7614893
"West Virginia, US",1792146
"Wisconsin, US",5822434
"Wyoming, US",578759
